Timestamp,ABC00575_Load,ABC00576_Load,ABC00574_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2022-01-01,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-01-02,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-01-03,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-01-04,48.0,32.0,,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-01-05,30.0,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-01-06,33.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-01-07,31.0,,,1.0,91.7,0.0,0.0,Ilhas Maldivas
2022-01-08,33.0,40.0,51.0,1.0,75.0,25.0,0.0,Ilhas Maldivas
2022-01-09,42.0,30.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2022-01-10,50.0,30.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-01-11,49.0,32.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2022-01-12,48.0,38.0,,2.0,45.8,54.2,0.0,Ilhas Maldivas
2022-01-13,40.0,30.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2022-01-14,24.0,28.0,,2.0,45.8,54.2,0.0,Ilhas Maldivas
2022-01-15,40.0,34.0,24.0,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-01-16,37.0,46.0,38.0,1.0,58.3,37.5,4.2,Ilhas Maldivas
2022-01-17,29.0,,27.0,1.0,75.0,25.0,0.0,Ilhas Maldivas
2022-01-18,31.0,,22.0,1.0,75.0,25.0,0.0,Ilhas Maldivas
2022-01-19,30.0,26.0,28.0,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-01-20,37.0,30.0,30.0,1.0,58.3,41.7,0.0,Ilhas Maldivas
2022-01-21,37.0,29.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2022-01-22,,29.0,31.0,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-01-23,42.0,33.0,30.0,2.0,41.7,58.3,0.0,Ilhas Maldivas
2022-01-24,29.0,33.0,43.0,2.0,12.5,83.3,4.2,Ilhas Maldivas
2022-01-25,31.0,,45.0,2.0,37.5,62.5,0.0,Ilhas Maldivas
2022-01-26,35.0,30.0,31.0,2.0,41.7,58.3,0.0,Ilhas Maldivas
2022-01-27,49.0,37.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2022-01-28,,36.0,45.0,1.0,54.2,45.8,0.0,Ilhas Maldivas
2022-01-29,43.0,36.0,40.0,2.0,29.2,70.8,0.0,Ilhas Maldivas
2022-01-30,36.0,34.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2022-01-31,43.0,36.0,,2.0,0.0,100.0,0.0,Ilhas Maldivas
2022-02-01,44.0,36.0,40.0,2.0,37.5,58.3,4.2,Ilhas Maldivas
2022-02-02,31.0,31.0,28.0,2.0,45.8,54.2,0.0,Ilhas Maldivas
2022-02-03,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-02-04,52.0,,41.0,2.0,45.8,54.2,0.0,Ilhas Maldivas
2022-02-05,,,66.0,1.0,66.7,0.0,0.0,Ilhas Maldivas
2022-02-06,,,94.0,0.0,29.2,0.0,0.0,Ilhas Maldivas
2022-02-07,,,63.0,0.0,33.3,0.0,0.0,Ilhas Maldivas
2022-02-08,,25.0,,0.0,4.2,0.0,0.0,Ilhas Maldivas
2022-02-09,21.0,22.0,23.0,0.0,25.0,8.3,0.0,Ilhas Maldivas
2022-02-10,33.0,40.0,32.0,2.0,33.3,50.0,16.7,Ilhas Maldivas
2022-02-11,36.0,40.0,44.0,2.0,41.7,54.2,4.2,Ilhas Maldivas
2022-02-12,37.0,46.0,36.0,2.0,45.8,50.0,4.2,Ilhas Maldivas
2022-02-13,23.0,28.0,,1.0,58.3,41.7,0.0,Ilhas Maldivas
2022-02-14,24.0,29.0,,1.0,54.2,41.7,0.0,Ilhas Maldivas
2022-02-15,29.0,42.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2022-02-16,28.0,38.0,,1.0,91.7,4.2,0.0,Ilhas Maldivas
2022-02-17,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-02-18,28.0,24.0,30.0,2.0,54.2,37.5,8.3,Ilhas Maldivas
2022-02-19,25.0,,26.0,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-02-20,23.0,26.0,21.0,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-02-21,24.0,25.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-02-22,25.0,27.0,22.0,1.0,87.5,8.3,0.0,Ilhas Maldivas
2022-02-23,25.0,28.0,,1.0,95.8,0.0,0.0,Ilhas Maldivas
2022-02-24,25.0,29.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-02-25,32.0,36.0,48.0,1.0,62.5,37.5,0.0,Ilhas Maldivas
2022-02-26,33.0,44.0,20.0,2.0,41.7,54.2,4.2,Ilhas Maldivas
2022-02-27,28.0,17.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-02-28,28.0,34.0,19.0,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-03-01,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-02,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-03,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-04,28.0,32.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-05,28.0,16.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-06,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-07,30.0,,21.0,1.0,95.8,4.2,0.0,Ilhas Maldivas
