Timestamp,Fuel_Press,Oil Filter Differential Pressure [kPa],Aftercooler Temperature [Deg. C],Coolant_Temp,Fuel_Rate,Oil_Temp,Throttle Position [%],Boost,EXH_L,Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],RPM,EXH_R,Fuel Filter Differential Pressure [kPa],Engine Acceleration Rate [REUSE],Fuel Position,FRC Fuel Limit,Batt,Right Turbo Inlet Pressure (absolute) [kPa],Crank_Press,Load,Total_Fuel,Left Turbo Inlet Pressure (absolute) [kPa],Peak Air Filter Restriction [kPa],Oil_Press,Turbo Outlet Pressure (absolute) [kPa],SMH,Cumulative Max Fuel Usage [L],Cumulative Idle Time [Hrs],Cumulative Fuel Used Daily [L],Cumulative Idle Fuel Usage [L],Run Status,EVENT_STATS,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-03-03,500.6666666666667,73.22916666666667,29.833333333333332,80.95833333333333,105.27500156871974,90.0,78.56666783740123,18.0625,329.5833333333333,0.3583333386729158,0.25416667045404484,1801.6458333333333,347.1666666666667,23.791666666666668,250.0,95.26666808625059,400.000005960464,26.0,100.625,,27.666666666666668,4021816.6272656247,100.77083333333333,1.0,439.6458333333333,120.58333333333333,33459.0267672,,,,,,,,0.9600007680000999,1632.0,451.52,197.13350729198066,104.50148437500077,18.0,SLM00547,Jim O'Brien
2022-03-04,502.2291666666667,72.91666666666667,29.958333333333332,80.58333333333333,91.73958470035963,90.0,78.23333449910086,14.875,303.5,0.3416666717578965,0.23333333681027066,1801.4166666666667,310.5833333333333,24.666666666666668,250.0,89.37500133179128,400.000005960464,26.0,100.64583333333333,,25.541666666666668,4024238.475286458,100.83333333333333,1.0,441.1875,114.79166666666667,33483.0267864,,,,,,,,0.9600007680000999,1632.0,416.84,185.98462436704563,92.02281249999457,11.083333333333334,SLM00547,Jim O'Brien
2022-03-05,497.0681818181818,73.79545454545455,30.227272727272727,81.13636363636364,126.74091097949585,90.0,79.01818299564447,26.227272727272727,367.6818181818182,0.39545455134727714,0.2636363675648513,1800.909090909091,395.77272727272725,23.431818181818183,250.0,105.43181975287466,400.00000596046397,26.0,100.5,,31.772727272727273,4026533.6028693183,100.72727272727273,1.0,437.20454545454544,127.79545454545455,33505.96953202691,,,,,,,,0.9390916603634568,1632.0,518.5309090909091,206.62205799206777,121.74366477273658,28.09090909090909,SLM00547,Jim O'Brien
2022-03-06,491.8333333333333,76.33333333333333,31.0,82.0,159.21666903917966,90.0,80.13333452741307,51.5,449.0,0.5333333412806193,0.3666666721304257,1801.5,472.0,16.833333333333332,250.0,121.06666847070034,400.000005960464,26.0,100.5,,38.0,4028174.2641666667,100.5,1.0,442.3333333333333,153.5,33518.526814799996,,,,,,,,0.750000599999718,1632.0,620.16,216.575779371021,182.31083333321536,23.0,SLM00547,Jim O'Brien
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00547,Jim O'Brien
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00547,Jim O'Brien
2022-03-09,493.5,75.83333333333333,30.666666666666668,82.0,154.8000023067,90.0,79.33333451549213,42.166666666666664,437.0,0.5000000074505807,0.30000000447034797,1800.8333333333333,472.6666666666667,1.8333333333333333,250.0,118.30000176280733,400.000005960464,26.0,100.5,,37.0,4028691.705208333,101.0,1.0,444.1666666666667,143.33333333333334,33522.526818,,,,,,,,0.7500006000021434,1632.0,603.84,216.76428640057304,171.42895833340785,35.666666666666664,SLM00547,Jim O'Brien
2022-03-10,491.6363636363636,74.75,30.681818181818183,81.86363636363636,151.25227498110723,90.0,79.78181937065992,45.88636363636363,419.09090909090907,0.5318181897428902,0.3272727321494708,1801.8863636363637,436.6818181818182,8.340909090909092,250.0,117.96591084873806,400.00000596046397,26.0,100.52272727272727,,36.77272727272727,4030813.4916193183,100.75,1.0,438.34090909090907,148.6590909090909,33535.08410077309,,,,,,,,0.9513643974546127,1632.0,600.1309090909091,210.35338831618037,154.776392045452,18.59090909090909,SLM00547,Jim O'Brien
2022-03-11,499.125,73.47916666666667,30.041666666666668,81.33333333333333,116.53958506990841,90.0,78.8000011742115,22.604166666666668,348.6666666666667,0.44166667324801273,0.26666667064030936,1801.0833333333333,373.25,7.979166666666667,250.0,100.42916816317783,400.000005960464,26.0,100.5,,29.708333333333332,4033810.5234375,100.64583333333333,1.0,438.8125,123.60416666666667,33558.026846400004,,,,,,,,0.9600007680000999,1632.0,484.84,203.8387032161604,116.09304687499146,24.583333333333332,SLM00547,Jim O'Brien
2022-03-12,499.9375,73.5,29.916666666666668,81.33333333333333,115.84583505957079,90.0,78.7166678396364,22.916666666666668,347.2083333333333,0.4458333399767677,0.25833333718279966,1801.2083333333333,374.5833333333333,7.020833333333333,250.0,99.97083482301487,400.000005960464,26.0,100.5,,29.708333333333332,4036587.116640625,100.58333333333333,1.0,438.6666666666667,122.875,33582.026865600004,,,,,,,,0.9600007680000999,1632.0,484.84,202.96648237754746,115.56078125000931,27.375,SLM00547,Jim O'Brien
2022-03-13,500.5,73.5625,29.958333333333332,81.16666666666667,110.82083498469258,90.0,78.65000117197631,20.125,337.125,0.4291666730617481,0.25000000372529,1801.0833333333333,357.4583333333333,7.291666666666667,250.0,97.8812514585443,400.000005960464,26.0,100.52083333333333,,28.625,4039305.850598959,100.72916666666667,1.0,439.0833333333333,121.95833333333333,33606.026884800005,,,,,,,,0.9600007680000999,1632.0,467.16,201.62903254975416,111.5786458333411,20.333333333333332,SLM00547,Jim O'Brien
2022-03-14,499.4583333333333,73.58333333333333,30.041666666666668,81.125,117.27500174753372,90.0,78.71666783963639,24.041666666666668,349.5833333333333,0.45000000670552237,0.26666667064030936,1800.7291666666667,371.9583333333333,7.25,250.0,100.97916817137353,400.000005960464,26.0,100.39583333333333,,30.041666666666668,4041991.1109635415,100.52083333333333,1.0,438.0,124.0,33630.026904000006,,,,,,,,0.9600007680000999,1632.0,490.28,202.62544924150825,117.51242187498913,22.375,SLM00547,Jim O'Brien
