Timestamp,Left Turbo Inlet Pressure (absolute) [kPa],Total_Fuel,Throttle Position [%],RPM,Total Operating Hours [Hours],Fuel Position,Boost,Fuel_Press,Batt,Fuel Filter Differential Pressure [kPa],EXH_L,Load,Crank_Press,Coolant_Temp,Oil_Temp,EXH_R,Oil_Press,Atmospheric Pressure [kPa],Inlet Air Temperature [Deg. C],Peak Air Filter Restriction [kPa],Aftercooler Temperature [Deg. C],Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],Oil Filter Differential Pressure [kPa],Fuel_Rate,SMH,Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Longitude,Heading [Degrees],Speed [km/h],Engine Code Description,Run Status,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-03-11,100.96153846153847,213897.1305957867,85.84615512230769,1762.5192307692307,37254.46550115385,98.44038607769231,42.4,517.8653846153846,25.51923076923077,23.5,370.6923076923077,23.653846153846153,-1537.9204311608776,79.03846153846153,85.61538461538461,356.11538461538464,500.9423076923077,101.5,-1518.6592063834694,2.3076923076923075,31.76923076923077,1.9307692595,0.5500000080384615,71.63461538461539,89.59615518115385,37251.54387183516,,,,,,,,,,0.15017405157369484,1626.8534615384617,395.37714230769234,303.4218239300562,6.404295589203461,14.576923076923077,TTG00233,Macaé
2022-03-12,100.90425531914893,214422.914893617,88.80000132,1800.5425531914893,37272.715508723406,104.42766112361701,64.15151515151516,521.6914893617021,25.5,23.74468085106383,399.06382978723406,26.5531914893617,0.28085106772340424,81.93617021276596,88.76595744680851,377.6808510638298,498.20212765957444,101.51063829787235,37.465958004468085,3.074468085106383,32.148936170212764,2.604255358,0.6936170314680852,74.76595744680851,100.05106532042554,37273.54472886525,,,,,,,,,,0.2758366666666722,1678.0,445.5625531914893,190.68309978532727,13.202127659574469,21.382978723404257,TTG00233,Macaé
2022-03-13,100.9375,215091.9296875,88.80000132000002,1799.34375,37296.465571875,109.98854331041667,83.51315789473684,520.1458333333334,25.5,23.59375,420.4791666666667,29.3125,0.2979166708125,83.60416666666667,90.1875,392.75,496.0833333333333,101.67708333333333,38.08125056583334,3.5,32.520833333333336,2.5770833717291666,0.7770833447708334,76.39583333333333,111.93437666645833,37295.93340445933,,,,,,,,,,0.2857145238096261,1678.0,491.86375,193.3945646762813,14.84375,27.729166666666668,TTG00233,Macaé
2022-03-14,100.51724137931035,215833.50554435482,88.80000132,1800.2241379310344,37315.715647241384,123.8034501275862,73.65217391304348,515.3965517241379,25.5,23.275862068965516,445.0344827586207,36.0,-1296.8396027259375,84.96551724137932,91.55172413793103,435.1034482758621,488.9655172413793,101.46551724137932,-1275.9646024145834,3.5,31.724137931034484,2.8413793526551725,0.9206896687586207,77.51724137931035,142.66724350448274,37318.451605850416,,,,,,,,,,0.14755324795078195,1678.0,604.08,200.06425004182705,11.306367607527136,9.931034482758621,TTG00233,Macaé
2022-03-15,100.5,216010.91532258067,88.80000132,1799.0,37323.713,62.50000093,,537.5,26.0,24.5,239.0,6.0,-3200.588419953395,77.0,80.0,216.0,527.5,101.5,-3199.9372571530234,2.0,25.0,2.00000003,0.800000012,69.0,30.50000045,37323.2099127907,,,,,,,,,,0.0027906976744795195,1678.0,100.68,257.499010553238,0.28197004608295556,23.0,TTG00233,Macaé
2022-03-16,100.75,216070.227393617,88.80000132,1797.125,37325.54599,114.45000172,52.875,523.75,25.875,24.125,404.25,31.5,-2997.897917169851,80.25,87.5,392.75,503.125,101.5,-2995.5660022414895,3.375,25.75,2.7000000405,0.90000001325,75.5,121.5375018375,37325.83689079787,,,,,,,,,,0.013955063829501903,1678.0,528.5699999999999,194.71646670147462,1.6897796352580934,11.5,TTG00233,Macaé
2022-03-17,100.75,216497.31515957447,88.80000132,1799.2058823529412,37335.42738,127.96176662058824,52.875,516.2647058823529,25.5,23.397058823529413,446.47058823529414,38.029411764705884,-906.1489497206383,83.82352941176471,90.08823529411765,441.8529411764706,493.2647058823529,101.91176470588235,-882.3574600042552,3.5294117647058822,30.470588235294116,3.2088235772941176,1.15588237,77.11764705882354,152.57059050411763,37337.74004964579,,,,,,,,,,0.18461029702860074,1678.0,638.1335294117647,202.49920869978854,14.372340425531915,8.323529411764707,TTG00233,Macaé
2022-03-18,100.94791666666667,217136.05989583334,88.80000132000002,1800.3333333333333,37356.05827833333,111.50625165416666,,524.125,25.53125,21.354166666666668,415.0833333333333,30.0625,0.2895833374166667,83.875,90.39583333333333,397.3541666666667,491.4270833333333,101.86458333333333,37.435417225,3.6041666666666665,32.854166666666664,2.4958333705208333,0.9854166812083333,77.0625,115.68958505625,37356.64334343607,,,,,,,,,,0.3287673972601321,1678.0,504.44875,194.9038872662379,15.265625,17.729166666666668,TTG00233,Macaé
2022-03-19,100.61458333333333,217852.74739583334,88.80000132000002,1800.0104166666667,37380.058251041664,109.71458496875,,524.6458333333334,25.5,21.166666666666668,413.625,29.125,0.3666666719791667,84.66666666666667,91.16666666666667,396.8333333333333,490.4166666666667,101.60416666666667,36.904167216875,4.0,32.9375,2.916666710229167,1.0000000148958332,77.90625,111.69270999604167,37380.52924761986,,,,,,,,,,0.3288282191780733,1678.0,488.7175,194.1871900598329,14.669270833333334,16.791666666666668,TTG00233,Macaé
2022-03-20,100.54166666666667,218550.92447916666,88.80000132000002,1800.5520833333333,37404.058240000006,108.59166828125001,,524.125,25.5,21.90625,414.4791666666667,28.583333333333332,0.37291667206249995,85.14583333333333,91.25,392.4791666666667,489.8125,101.59375,37.562500560208335,4.322916666666667,33.208333333333336,2.8250000421458332,1.066666682375,78.19791666666667,109.19479329458333,37404.51913622062,,,,,,,,,,0.30763551282037344,1678.0,479.62833333333333,193.15215766682107,14.3125,22.25,TTG00233,Macaé
