Timestamp,Longitude,Speed [km/h],Heading [Degrees],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Max Fuel Usage [L],SMH,Aftercooler Temperature [Deg. C],Fuel_Press,Fuel_Rate,Inlet Air Temperature [Deg. C],Coolant_Temp,Oil Filter Differential Pressure [kPa],Fuel Filter Differential Pressure [kPa],Batt,Load,Total Operating Hours [Hours],Total_Fuel,Left Air Filter Restriction [kPa],RPM,EXH_R,Oil_Press,Boost,Throttle Position [%],Oil_Temp,Crank_Press,Turbo Outlet Pressure (absolute) [kPa],EXH_L,Right Air Filter Restriction [kPa],DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-02-04,,,,,,,,28851.6732459943,31.435897435897434,508.65384615384613,144.89359190267257,-581.6937586679132,85.07692307692308,77.66666666666667,36.666666666666664,23.102564102564102,32.82051282051282,28850.54969993214,574350.8858686294,1.466666688521703,1805.1153846153845,419.5897435897436,453.85897435897436,48.35897435897436,89.21025773959285,91.64102564102564,-613.0375091349715,148.6153846153846,440.2307692307692,1.3153846349853746,,,0.20091964034190823,1678.0,550.7282051282052,223.9309694958419,15.068676825069511,28.435897435897434,ABB00239,SS Moretti
2022-02-05,,,,,,,,28860.209754816005,,,,-3276.80004882813,,,,,,,574659.3744834712,,,,,,,,-3276.80004882813,,,,,,,,,,0.06714876032977675,,ABB00239,SS Moretti
2022-02-06,,,,,,,,28860.209754816005,,,,-3276.80004882813,,,,,,,574662.597623967,,,,,,,,-3276.80004882813,,,,,,,,,,0.06714876032977675,,ABB00239,SS Moretti
2022-02-07,,,,,,,,28860.209754816005,,,,-3276.80004882813,,,,,,,574665.8207644628,,,,,,,,-3276.80004882813,,,,,,,,,,0.06714876033220207,,ABB00239,SS Moretti
2022-02-08,,,,,,,,28860.209754816005,,,,-3276.80004882813,,,,,,,574669.0439049586,,,,,,,,-3276.80004882813,,,,,,,,,,0.06714876032977675,,ABB00239,SS Moretti
2022-02-09,,,,,,,,28860.53093805167,31.571428571428573,514.8571428571429,148.00000220537171,-2782.727701040346,84.42857142857143,80.14285714285714,47.714285714285715,23.0,34.57142857142857,28862.451787704103,574680.8391067347,0.28571428997176,1802.7142857142858,413.85714285714283,456.42857142857144,50.214285714285715,89.2000013291836,90.71428571428571,-2788.5511053824403,152.35714285714286,442.14285714285717,0.45714286395481657,,,0.022865896936638548,1678.0,580.1085714285715,218.5164583989022,3.0039563917708483,28.285714285714285,ABB00239,SS Moretti
2022-02-10,,,,,,,,28876.319504545896,30.458333333333332,510.8333333333333,118.36250176373873,39.27291725187874,84.4375,81.42708333333333,57.625,23.0,27.729166666666668,28876.206541842042,575208.1692708334,0.3125000046566125,1804.5416666666667,392.3125,460.25,37.791666666666664,89.20000132918362,91.08333333333333,1.2395833518045636,140.01041666666666,392.2916666666667,0.4958333407218261,,,0.3157897263157186,1678.0,465.29541666666665,216.01795098486866,15.104166666666666,24.0625,ABB00239,SS Moretti
2022-02-11,,,,,,,,28898.89500259493,30.976744186046513,504.25581395348837,129.26395541455514,-305.63958788771856,85.83720930232558,81.53488372093024,73.53488372093024,23.011627906976745,30.41860465116279,28898.964284913025,575898.9897889254,0.4441860531305158,1804.7093023255813,406.16279069767444,453.0348837209302,42.41860465116279,89.2000013291836,92.76744186046511,-340.158338402088,145.3953488372093,413.27906976744185,0.5581395432006484,,,0.24617166904211749,1678.0,510.4241860465117,215.25935918010845,15.04279057017508,20.74418604651163,ABB00239,SS Moretti
2022-02-12,,,,,,,,28909.760905568004,,,,-3276.80004882813,,,,,,,576260.1194078947,,,,,,,,-3276.80004882813,,,,,,,,,,0.0506578947364081,,ABB00239,SS Moretti
2022-02-13,-46.307695,,,,,,,28909.760905568004,,,,-3276.80004882813,,,,,,,576262.5509868421,,,,,,,,-3276.80004882813,,,,,,,,,,0.05065789473883342,,ABB00239,SS Moretti
